Respondant Number,"Pick one in [30, 35]","[30,35], non-mimetic",Explanation (optional),"Pick one in [45, 50]","[45,50], non-mimetic",Explanation (optional)  ,"Pick one in [63,67]","[63,67], non-mimetic",Explanation (optional) ,"Pick up to two in [0,10]","[0,10], non-mimetic",Explanation (optional)   ,"Pick up to two in [77, 87]","[77,87], non-mimetic",Explanation (optional)    
1,33,,33 looks like a butt and 31 has nothing to do with anything,45,45,9 times 5,66,66,Commas,"3, 8","3, 8",I like rounded shapes,83,83,Funmi
2,33,,its the closest to 69,47,47,"its just so *weird*, and all the ones around it are so normal
3*15
even so its boring
WHAT WHY ARE YOU HERE
3*16 (minecraft)
7^2
it ends in a 0",63,63,,"0, 10","0, 10",they're only funny together and in the context of this kind of question,83,83,
3,30,,Titties and tummy,45,45,Middle aged,66,,They're not 69ing,"6, 9",,Victims of 7,77,,Two hands saluting 
4,32,32,Ooo noise at end,47,47,Prime,66,,It's looking back at me,"0, 3","0, 3",,77,77,
5,31,31,Sounds funny I guess,49,49,,66,66,,0,0,,79,79,Said it in a funny way in my head
6,32,32,,49,49,John Elway,64,64,,"2, 6","2, 6",,"81, 83","81, 83",Looks like a little face
7,34,34,,49,49,,66,66,,"5, 7","5, 7",,81,81,
8,31,31,vibes,47,47,i know it to be true,63,63,she feels like she’s supposed to be prime but isnt,"0, 9","0, 9",,"77, 83","77, 83",
9,35,,you know what's funnier than 34? 35,47,,4+7 = 11. 47 + 11 = 58. 58 + 11 = 69. nice. ,67,,star trek...... [AUTHOR'S NOTE: confirmed with individual to be a mimetic reason],8,8,it's got 3 2's but not like 6 which has 3 2's. forbidden. ,87,,star trek again...... [AUTHOR'S NOTE: confirmed with individual to be a mimetic reason]
10,34,34,,49,49,,64,64,,5,5,,79,79,
11,33,,3+3=6 3*3=9 69,46,46,,66,,Devil,7,7,,"77, 86","77, 86",
12,31,31,,46,46,,63,63,,"3, 7","3, 7",,"79, 87","79, 87",
13,33,33,,49,49,,66,66,,"0, 2","0, 2",0 is wack and 2 is an even prime,"77, 81","77, 81",
14,31,31,,50,50,,65,65,,"3, 7","3, 7",,82,82,
15,35,35,vibes. 32 is a funny response number but 35 is kinda funny on its own,47,47,vibes,67,67,vibes,"7, 9","7, 9",7 and 9 are just funny numbers. theyre random and niche numbers,"83, 87","83, 87",something about their vibes
16,33,,We are in [REDACTED] so I think it’s a little funny,49,49,It makes me think about the San Francisco 49’ers then I think about why miners are called 49’ers and then I’m like. Maybe because they rhyme. And then I think about how rhyming nicknames are a thing (like Dick is short for Richard). And that’s pretty silly and makes me laugh. ,66,,It reminds me of 666 and then I think about the video of the lady explaining why Monster Energy drinks are demonic. She’s so smooth with it. I wish I was as good of a speaker as she is https://youtu.be/bntfUA6TmLs?si=PEZNA2QqtERQ8Zi4,0,0,It makes me think about when people say goose egg instead of zero. That’s pretty silly ,77,77,"7 is [REDACTED]'s favorite number and he’s a very silly guy. for example, when he was helping me move to [REDACTED] we went to [REDACTED] and he yelled in the store about how it was the best [REDACTED] he’s ever had and they gave him a free t shirt. He loves to do a “raise the roof” dance move at strangers in public. He also likes to go to Outback Steakhouse and do a really bad australian accent. Thank you for this opportunity Emily I had a great time "
