Respondant Number,"Pick one in [30, 35]","[30,35], non-mimetic","Pick one in [45, 50]","[45,50], non-mimetic","Pick one in [63,67]","[63,67], non-mimetic","Pick one in [0,10]","[0,10], non-mimetic","Pick one in [77, 87]","[77,87], non-mimetic","Optional: feel free to explain any of your answers here, and/or write general thoughts/reflections you might have."
1,-,-,45,45,66,66,3,3,83,83,Why would I change my answers
2,-,-,49,49,64,64,8,8,79,79,i am very unsatisfied that 88 is not an option for the last response smh
3,-,-,47,47,64,64,0,0,83,83,Oddly specific numbers are always funnier
4,-,-,47,47,63,63,0,0,82,82,"Based more on how they sound, and 0 is because it sounds funnier said than other things that mean the same in conversation like none"
5,-,-,49,49,66,66,0,0,83,83,
6,-,-,46,46,64,64,0,0,81,81,
7,-,-,50,50,67,,0,0,87,,Years 19XY
8,-,-,47,47,63,63,0,0,83,83,
9,-,-,46,46,67,,8,8,83,83,
10,-,-,47,47,63,63,8,8,83,83,
11,-,-,49,49,67,67,7,7,87,87,
12,-,-,47,47,67,67,9,9,83,83,
13,-,-,50,50,67,67,0,0,87,87,Largest or smallest number in response to a question implies extremes
14,-,-,50,50,63,63,0,0,83,83,
15,-,-,48,48,67,67,1,1,86,86,✨vibes✨
16,-,-,50,50,67,67,0,0,79,79,I’m imagining someone saying these numbers with a lot of emphasis. I can imagine someone saying “FIFTY!” pretty intensely. The eighties don’t really have the same punch to them. 
17,-,-,49,49,64,64,5,5,82,82,
18,-,-,49,49,64,64,5,5,82,82,
19,-,-,45,45,67,,1,1,78,78,god won’t let me die
20,-,-,47,47,67,67,0,0,83,83,
21,-,-,47,47,64,64,8,8,79,79,the numbers that feel randomer feel funnier
22,-,-,49,49,63,63,3,3,83,83,
23,-,-,47,47,63,63,0,0,78,78,My answers are typically numbers that take longer to say
24,-,-,47,47,65,65,4,4,77,77,"My first thoughts upon beginning to answer these questions were: ""What is the question?"" I devised many possible answers which were actually questions. Which led me to think to myself: like Jeopardy! Of course following that train of thought led me to find the funniest answers out of context, while these may be different from the previous responses I've given, I am absolutely positive that they are each individually the funniest and most beautiful numbers in existence. You do not get to decide which number is the funniest in each moment, however you do have the power to channel the comedy of mathematics through you in every second. The cosmic random number generator that courses through each of our beings determines what number will be funniest, and changes its mind frequently. I think the funniest number is neither eternal nor fleeting, it simply is, was, will be again, and never has been. That is the best answer I can give, and I thank you for your careful consideration"
25,-,-,47,47,65,65,7,7,77,77,
26,-,-,47,47,66,,0,0,87,87,
27,-,-,49,49,63,63,9,9,79,79,"49 is funny because it's not 50 [whatever the question was], it's specifically 49! 
I also just like 9 as a number. it's good to say. nine"
28,-,-,46,46,67,67,6,6,82,82,
29,-,-,47,,63,63,2,2,83,,no 69? i’ve been robbed of the funny sex number :( 
30,-,-,48,48,66,66,9,9,82,82,
31,34,34,47,47,63,63,7,7,83,83,"Oh now you've turned the tables! I think the thing that makes the number funny out of context is the entropy of the number, how specific/precise it is. 100 is a very unfunny and serious reply."
32,33,,49,49,63,63,1,1,87,87,
33,32,32,49,49,65,65,7,7,83,83,
34,34,34,46,46,66,66,6,6,83,83,
35,33,33,50,50,66,,9,9,77,77,"My humor is absolute, so I picked the same answers"
36,31,31,47,47,63,63,9,9,77,77,"After careful reflection, I have determined that I have no general thoughts."
37,35,,45,,65,,9,9,83,83,
38,32,32,45,45,63,63,2,2,81,81,
39,34,,45,45,66,,0,0,87,87,This survey is a war crime.
